"provider","dataproviderkey"
"UC Riverside Entomology Collection",237
"UCLA-Dickey Collection (UCLA-Dickey)",225
"UK National Biodiversity Network",172
"UNIBIO, IBUNAM",173
"United States Geological Survey",362
"Universidad Nacional de San Agustín (Herbarium Areqvipense HUSA)",358
"Universitatsherbarium Gottingen; Gesellschaft fur wissenschaftliche Datenverarbeitung mbH Gottingen GWDG.",175
"University Museum of Zoology Cambridge",317
"University Museums of Norway (MUSIT)",240
"University of Alabama Biodiversity and Systematics",176
"University of Alberta",178
"University of Arizona Herbarium",269
"University of Arizona Museum of Natural History",304
"University of Arkansas",5
"University of Arkansas Collections Facility, UAFMC",359
"University of Białystok, Institute of Biology",243
"University of California, Davis",171
"University of Colorado Museum of Natural History",179
"University of Connecticut",266
"University of Eastern Finland",349
"University of Gdańsk, Bird Migration Research Station",180
"University of Gdańsk, Dept. of Plant Taxonomy and Nature Conservation",181
"University of Hawaii",299
"University of Helsinki, Department of Applied Biology",182
"University of Kansas Biodiversity Research Center",196
"University of Louisiana at Monroe",310
"University of Malaga",294
"University of Michigan Museum of Zoology",183
"University of Minnesota Bell Museum of Natural History",184
"University of Mons-Hainaut",260
"University of Navarra, Museum of Zoology",185
"University of Nebraska - Lincoln",270
"University of Nebraska State Museum",186
"University of Nevada, Reno",315
"University of Opole, Dept. of Biosystematics",244
"University of Oulu",354
"University of Oxford",245
"University of Silesia, Laboratory of Botanical Documentation - Herbarium KTU",187
"University of Tennessee - Chattanooga (UTC)",188
"University of Tennessee, Knoxville",189
"University of Texas at El Paso",191
"University of Texas-Arlington",190
"University of Texas-Austin",192
"University of Turku provider",193
"University of Vienna, Institute for Botany - Herbarium WU",194
"University of Vienna, Institute for Botany, Research Group for Plant Biogeography",195
"University of Warsaw, Białowieża Geobotanical Station of the Biological Faculty",15
"University of Warsaw, Botanic Garden",22
"University of Warsaw, Dept. of Ecology",204
"University of Washington Burke Museum",25
"Universität Salzburg",403
"Université d'Abomey-Calavi, Faculté des Sciences Agronomiques",365
"Université de Lomé",350
"Université de Montréal Biodiversity Centre",375
"Université de Strasbourg",215
"Upper Silesian Museum, Bytom",197
"US National Plant Germplasm System",199
"USDA PLANTS",198
"USDA-ARS Bee Biology and Systematics Laboratory",232
"Utah Museum of Natural History",200
"Utah State University",201
"Utah Valley State College (UVSC)",202
"Walter Reed Biosystematics Unit, Smithsonian Institution",250
"Warsaw University of Life Sciences, Fac. Forestry, Dept. of Forest Protection and Ecology",279
"Warsaw University of Life Sciences, Fac. Horticulture and Landscape Architecture, Dept. of Applied Entomology",203
"Western Australian Herbarium",381
"Western Foundation of Vertebrate Zoology",205
"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)",206
"Wildlife Conservation Society - Madagascar Program (WCS - Mad)",324
"Wildlife Institute of India",328
"Wildlife Sightings",393
"Wildscreen",211
"Wooseokheon Natural History Museum",290
"Wrocław University, Fac. Natural Sciences",247
"Wrocław University, Museum of Natural History",121
"Yale University Peabody Museum",207
"York University",238
"ZooKeys",300
"Zoological Institute, Russian Academy of Sciences, St. Petersburg",353
"Zoologisches Forschungsinstitut und Museum Alexander Koenig",208
"Österreichische Mykologische Gesellschaft",142
